@relation 'Vuze 5740_ck'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
19,0,160,58,1,93,938,yes
6,0,68,18,1,74,317,yes
1,0,2,2,1,0,16,yes
17,0,36,9,1,76,559,yes
7,0,38,38,1,84,228,yes
23,0,65,51,1,94,575,yes
1,0,29,9,1,37,150,yes
15,0,56,46,1,89,393,yes
76,0,268,82,1,95,2255,yes
2,0,10,64,2,40,71,yes
8,0,15,52,4,64,134,yes
23,0,108,35,1,92,965,yes
21,0,38,15,1,73,267,yes
10,0,15,5,1,53,111,yes
2,0,13,13,1,74,86,yes
6,0,5,3,1,0,34,yes
19,0,106,22,1,85,1273,yes
7,0,12,12,1,16,97,yes
9,0,27,6,1,33,187,yes
8,0,36,18,1,89,598,yes
5,0,29,14,1,75,164,yes
1,0,5,5,2,40,44,yes
3,0,6,2,1,50,39,yes
4,0,15,14,1,81,101,yes
28,0,87,33,1,91,630,yes
4,0,17,17,1,84,119,yes
17,0,180,41,1,90,1062,yes
6,0,51,26,1,63,289,yes
6,0,79,28,1,77,455,yes
6,0,48,19,1,84,305,yes
13,0,47,15,1,66,284,yes
8,0,80,12,1,41,370,yes
10,0,120,21,1,72,634,yes
16,0,43,13,1,81,295,yes
21,0,84,25,1,87,982,yes
0,0,4,4,1,37,19,yes
10,0,19,9,1,75,150,yes
14,0,40,4,1,57,274,yes
91,0,218,54,1,95,1987,yes
1,0,19,4,1,0,101,yes
28,0,140,51,1,94,975,yes
13,0,44,16,2,85,249,yes
3,0,20,16,2,79,144,yes
6,0,14,6,1,79,77,yes
23,0,35,13,1,80,259,yes
40,0,95,76,1,95,601,yes
8,0,78,78,1,96,396,yes
31,0,129,127,1,97,749,yes
14,0,59,55,2,94,316,yes
8,0,55,58,2,90,357,yes
12,0,22,8,1,81,180,yes
6,0,28,9,1,0,273,yes
9,0,20,6,1,0,200,yes
27,0,65,14,1,90,492,yes
1,0,53,6,2,57,249,yes
1,0,53,6,2,60,335,yes
34,0,119,35,1,87,892,yes
51,0,166,36,1,91,1438,yes
10,0,37,97,2,67,256,yes
5,0,53,66,2,95,269,yes
4,0,2,2,1,50,32,yes
15,0,67,127,3,55,348,yes
13,0,14,128,3,75,308,yes
17,0,119,129,3,90,515,yes
7,0,97,81,2,95,367,yes
13,0,23,6,1,70,163,yes
3,0,24,12,1,66,127,yes
7,0,28,7,1,71,164,yes
9,0,20,11,1,75,299,yes
5,0,7,3,1,50,50,yes
71,0,442,127,2,97,2844,yes
3,0,14,7,1,61,81,yes
11,0,21,9,1,51,119,yes
7,0,20,9,1,72,175,yes
22,0,34,25,2,89,523,yes
22,0,58,19,1,88,526,yes
5,0,8,3,1,50,52,yes
17,0,21,3,1,33,131,yes
7,0,7,2,1,50,216,yes
9,0,25,9,1,62,312,yes
4,0,13,13,1,61,85,yes
4,0,28,14,1,79,158,yes
14,0,34,31,2,50,194,yes
9,0,22,31,2,50,130,yes
21,0,30,16,1,92,502,yes
16,0,44,13,1,80,354,yes
11,0,43,12,1,77,345,yes
11,0,59,17,1,68,369,yes
18,0,40,29,2,84,342,yes
12,0,125,26,1,82,649,yes
9,0,20,11,2,68,225,yes
24,0,128,32,2,90,854,yes
7,0,22,10,1,55,99,yes
7,0,27,10,1,40,115,yes
29,0,27,11,1,83,300,yes
8,0,11,11,1,59,101,yes
15,0,89,12,1,81,675,yes
1,0,3,3,1,33,24,yes
2,0,8,5,1,60,43,yes
9,0,22,8,1,64,98,yes
9,0,19,8,1,71,112,yes
11,0,22,10,1,87,297,yes
1,0,15,9,1,33,91,yes
2,0,6,14,2,50,46,yes
1,0,10,14,2,60,61,yes
1,0,21,12,1,61,119,yes
2,0,4,3,1,66,66,yes
5,0,7,5,1,73,122,yes
6,0,10,10,1,55,95,yes
1,0,2,2,1,0,16,yes
4,0,31,21,1,74,194,yes
21,0,62,18,1,89,548,yes
17,0,275,55,1,92,1589,yes
6,0,15,5,1,40,134,yes
11,0,19,40,2,78,114,yes
8,0,85,38,1,87,480,yes
10,0,85,11,1,77,454,yes
9,0,8,4,1,0,45,yes
5,0,13,4,1,16,76,yes
10,0,49,17,1,65,259,yes
2,0,15,11,1,27,75,yes
1,0,34,11,1,67,133,yes
2,0,38,17,1,76,168,yes
78,0,169,49,1,95,1594,yes
34,0,79,12,1,77,707,yes
8,0,13,7,1,81,225,yes
16,0,27,5,1,78,403,yes
12,0,22,8,1,87,187,yes
7,0,17,14,2,65,196,yes
7,0,21,14,2,53,196,yes
3,0,14,12,1,77,79,yes
3,0,18,12,1,77,94,yes
7,0,46,13,1,81,216,yes
3,0,2,2,1,0,18,yes
26,0,22,4,1,0,142,yes
3,0,17,15,1,77,108,yes
3,0,14,12,1,77,77,yes
3,0,14,12,1,77,77,yes
3,0,18,12,1,81,48,yes
3,0,22,14,1,79,64,yes
2,0,13,11,1,81,22,yes
3,0,16,12,1,75,39,yes
3,0,18,12,1,81,48,yes
2,0,13,11,1,81,22,yes
2,0,13,11,1,81,22,yes
3,0,21,17,1,88,42,yes
3,0,14,11,1,69,52,yes
9,1,54,12,1,78,261,yes
31,0,30,4,1,0,159,yes
3,0,23,14,1,79,60,yes
2,0,18,17,1,76,92,yes
3,0,27,16,1,80,77,yes
3,0,27,16,1,80,77,yes
3,0,18,12,1,81,48,yes
1,0,11,11,1,90,20,yes
7,0,55,23,1,83,194,yes
6,0,13,18,2,41,65,yes
11,0,29,9,1,62,127,yes
3,0,16,12,1,80,85,yes
8,0,11,9,1,62,50,yes
14,0,24,11,1,87,370,yes
9,0,64,17,1,86,360,yes
19,0,27,9,1,79,695,yes
42,0,375,55,1,92,2013,yes
5,0,41,7,1,0,149,yes
5,0,42,10,1,78,141,yes
9,0,97,19,1,93,406,yes
7,0,30,19,1,96,350,yes
3,0,60,12,1,91,214,yes
11,0,34,11,1,63,247,yes
5,0,11,7,1,57,51,yes
10,0,14,14,1,0,158,yes
20,0,63,16,1,88,501,yes
11,0,32,9,1,77,249,yes
9,0,39,25,1,84,231,yes
12,0,52,16,1,80,340,yes
8,0,60,19,2,82,623,yes
14,0,21,2,1,45,259,yes
2,0,12,4,1,50,61,yes
15,0,20,15,1,85,816,yes
10,0,10,10,1,76,74,yes
7,0,15,7,1,71,225,yes
6,18,11,9,1,83,87,yes
12,0,29,50,2,81,192,yes
0,0,3,5,3,0,27,yes
17,0,78,29,1,75,560,yes
24,0,63,26,1,90,518,yes
27,0,77,44,1,93,876,yes
2,0,3,13,2,50,19,yes
6,0,49,14,1,84,369,yes
6,0,32,9,1,76,142,yes
3,0,21,6,1,69,90,yes
2,0,29,13,1,83,172,yes
10,0,20,9,1,77,127,yes
4,0,20,9,1,78,117,yes
6,0,5,5,1,0,49,yes
2,0,10,7,1,0,77,yes
3,0,5,5,1,66,20,yes
9,0,3,2,1,0,25,yes
0,0,1,1,1,0,14,yes
5,0,5,2,1,0,32,yes
24,0,174,74,1,91,940,yes
15,0,72,25,1,88,377,yes
11,0,72,26,1,89,344,yes
4,0,16,14,1,53,101,yes
4,0,11,7,1,50,55,yes
9,0,38,14,1,86,338,yes
53,0,460,54,1,95,4805,yes
8,0,37,9,1,80,429,yes
14,0,13,5,1,19,88,yes
18,0,154,43,1,85,696,yes
41,0,256,116,1,95,1564,yes
104,0,524,141,1,98,4897,yes
11,0,51,20,1,76,273,yes
25,0,60,19,1,92,577,yes
19,1,201,177,3,95,1181,yes
49,0,179,53,1,95,1666,yes
21,0,41,17,1,83,1294,yes
8,0,34,8,1,79,188,yes
11,0,18,8,1,87,125,yes
9,0,36,11,1,69,288,yes
6,0,7,53,3,66,55,yes
6,3,12,47,2,50,70,yes
1,0,7,7,1,80,37,yes
2,5,4,4,1,0,24,yes
22,0,79,16,1,87,436,yes
1,0,2,2,1,0,74,yes
0,0,15,37,2,40,91,yes
0,0,16,37,2,40,95,yes
0,0,14,37,2,40,84,yes
2,0,26,14,1,57,148,yes
1,0,4,4,1,25,81,yes
1,0,15,11,2,63,102,yes
3,0,46,10,1,90,238,yes
2,0,1,1,1,50,54,yes
1,0,12,12,1,0,88,yes
6,0,39,15,1,86,868,yes
2,0,36,5,1,0,208,yes
7,0,6,6,1,75,102,yes
3,0,36,9,1,16,219,yes
0,0,5,3,1,42,31,yes
1,0,25,1,1,0,218,yes
5,0,32,5,1,80,214,yes
0,0,5,9,3,0,31,yes
0,0,2,9,3,0,21,yes
4,0,46,14,1,82,412,yes
1,0,13,3,1,66,71,yes
0,0,17,11,2,27,94,yes
3,0,4,3,1,0,26,yes
48,0,210,39,1,93,1154,yes
11,0,30,12,1,87,158,yes
4,0,13,9,1,55,185,yes
5,0,5,2,1,50,85,yes
43,0,110,42,1,93,1465,yes
52,0,114,50,1,89,1112,yes
21,0,118,76,1,93,754,yes
26,0,43,18,1,83,480,yes
8,0,97,14,1,82,555,yes
9,0,15,4,1,62,123,yes
53,0,136,17,1,87,1312,yes
89,0,342,113,1,96,3000,yes
18,0,45,20,1,81,705,yes
47,0,236,90,1,96,4039,yes
25,0,256,103,1,95,2311,yes
18,0,38,15,1,93,226,yes
39,0,59,15,1,91,1937,yes
39,0,268,38,1,92,3003,yes
33,0,47,23,1,89,1977,yes
7,0,13,5,1,64,122,yes
32,0,149,50,1,94,1508,yes
13,0,8,8,1,82,124,yes
28,0,41,13,1,80,407,yes
17,0,73,13,1,71,548,yes
18,0,33,11,1,77,279,yes
35,0,48,13,1,77,345,yes
18,0,169,23,1,88,751,yes
