@relation 'jEdit 5.5.0 new'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
11,0,25,6,1,75,267,yes
30,0,206,47,1,90,1477,yes
23,0,15,7,2,73,1145,yes
25,0,12,4,2,72,1131,yes
8,0,11,7,1,42,116,yes
5,0,18,10,2,78,90,yes
12,0,37,10,1,72,509,yes
7,0,40,11,2,77,200,yes
20,0,38,17,2,87,253,yes
6,0,9,5,2,82,131,yes
8,0,24,11,1,66,369,yes
2,0,12,11,3,69,170,yes
18,0,57,9,1,72,367,yes
17,0,45,11,1,63,371,yes
0,0,22,14,1,71,110,yes
9,0,62,13,2,90,1475,yes
15,0,87,29,1,89,520,yes
4,0,8,15,2,30,47,yes
1,0,37,14,2,69,170,yes
6,2,29,10,1,33,121,yes
2,0,9,7,1,0,37,yes
10,0,17,10,1,68,174,yes
2,0,36,13,2,61,182,yes
36,0,160,44,1,86,907,yes
19,0,26,9,2,75,350,yes
26,0,59,27,3,78,901,yes
2,2,11,6,1,73,64,yes
5,0,15,10,2,75,86,yes
6,0,20,10,1,0,176,yes
7,0,76,31,2,85,554,yes
3,1,12,8,1,70,55,yes
6,0,38,21,2,79,469,yes
1,0,2,2,1,0,9,yes
3,0,24,12,1,66,124,yes
4,1,44,11,1,72,266,yes
2,0,49,15,1,80,283,yes
3,0,50,30,1,91,242,yes
0,0,4,4,1,50,24,yes
1,1,15,5,1,72,94,yes
9,0,107,16,1,72,731,yes
10,2,66,16,2,81,598,yes
2,2,19,21,1,88,94,yes
11,0,51,12,1,57,285,yes
12,0,94,28,1,76,509,yes
2,0,60,55,3,81,302,yes
14,0,124,35,1,79,621,yes
6,0,64,15,2,46,397,yes
6,0,10,3,1,0,57,yes
5,0,83,37,2,87,392,yes
16,0,100,48,2,93,762,yes
4,0,30,16,2,60,195,yes
17,0,58,290,3,50,293,yes
2,0,3,2,1,0,25,yes
12,0,19,20,3,0,122,yes
3,0,19,9,1,38,79,yes
