@relation 'frinika 0.4-0.5new.csv.arff'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
0,0,14,3,1,33,64,no
2,0,17,4,2,66,62,yes
1,0,4,4,2,75,22,yes
3,0,6,18,2,100,23,no
2,0,7,19,2,100,27,no
4,0,3,7,3,66,43,yes
20,0,38,5,2,71,346,yes
12,0,21,12,2,83,105,yes
1,6,5,4,2,62,29,yes
20,0,32,12,3,64,390,yes
37,0,126,123,3,94,651,yes
9,0,5,13,3,40,113,yes
1,0,2,6,3,0,14,no
5,0,8,7,3,44,102,yes
5,0,5,9,3,50,36,yes
7,0,6,5,2,40,62,yes
5,0,5,9,3,50,36,yes
9,0,19,7,2,65,98,yes
4,0,9,5,2,70,40,yes
8,0,9,5,1,56,52,yes
5,0,15,7,1,60,58,no
27,0,136,120,4,91,729,yes
2,0,2,2,1,0,9,no
2,0,2,2,1,0,9,no
8,0,8,4,2,43,36,no
5,0,32,12,3,78,131,no
4,0,4,2,2,0,19,no
2,0,25,11,3,80,104,no
22,0,14,21,3,83,171,yes
29,0,125,121,4,93,598,yes
7,2,8,87,3,0,37,yes
4,0,40,13,2,86,262,no
8,0,13,5,2,50,58,no
9,0,8,2,2,16,37,yes
3,0,11,5,2,72,67,no
1,0,7,3,2,50,42,no
2,0,4,18,2,0,23,no
11,0,24,11,2,65,109,no
1,0,2,23,2,0,7,no
7,0,24,32,3,77,87,no
3,1,2,23,2,0,10,no
3,0,2,23,2,0,10,no
3,3,35,21,1,68,131,yes
5,0,24,21,2,80,93,yes
1,0,53,42,2,88,226,yes
0,0,8,6,2,50,44,no
3,0,9,9,2,0,63,yes
2,0,27,12,2,69,87,yes
6,0,56,25,2,84,224,yes
1,7,15,14,1,92,41,no
6,0,17,4,2,50,91,no
2,0,3,2,2,0,18,no
15,0,32,17,2,84,627,yes
16,0,87,27,2,87,396,yes
5,0,2,2,2,25,32,no
4,0,2,2,2,0,11,no
4,0,3,2,2,25,13,no
6,0,3,2,2,12,18,no
5,0,5,2,2,0,23,no
10,0,6,3,2,45,144,yes
1,0,9,3,2,38,49,no
0,0,37,5,1,80,113,no
3,0,10,19,2,30,52,yes
5,0,13,7,1,71,63,yes
9,0,54,20,1,77,269,no
3,0,28,18,1,85,118,yes
9,0,33,32,3,89,229,yes
0,0,3,3,2,0,18,yes
3,0,16,13,1,71,93,no
1,0,5,4,1,37,19,yes
0,0,9,28,4,0,66,yes
0,0,1,27,4,0,7,no
0,0,2,27,4,0,10,no
0,3,5,26,3,0,26,yes
0,1,12,21,2,0,88,no
0,0,4,16,2,0,18,yes
2,3,8,8,1,66,32,no
2,0,5,11,2,33,20,no
2,0,5,11,2,33,20,no
2,0,3,11,2,33,14,no
7,0,21,6,1,80,91,yes
1,2,28,14,1,0,113,yes
1,0,24,12,1,70,91,yes
1,0,36,11,1,68,190,yes
1,0,13,5,1,50,56,no
0,0,38,10,1,71,146,yes
9,0,30,58,2,89,169,yes
13,0,37,57,2,85,331,yes
10,0,18,4,1,43,116,no
2,4,4,36,2,50,17,no
2,0,11,46,3,53,60,no
7,0,47,22,1,77,212,yes
3,0,17,7,1,34,85,no
0,0,3,3,1,33,15,no
3,0,17,7,1,34,87,no
1,0,1,1,1,0,18,no
7,0,13,4,1,37,69,no
1,0,1,1,1,50,27,yes
6,5,54,36,1,92,196,yes
2,0,9,40,2,58,50,yes
16,1,57,70,2,87,213,yes
16,1,79,62,2,81,292,yes
6,0,60,115,3,92,261,yes
0,0,0,0,1,0,12,yes
2,0,4,4,1,31,21,yes
5,5,34,32,1,87,129,yes
3,13,1,2,1,0,11,no
3,0,2,1,1,0,11,no
1,0,4,3,1,0,20,no
2,0,2,39,3,50,15,no
1,1,5,37,2,0,23,no
2,0,3,1,1,0,9,no
3,0,26,56,3,68,141,yes
2,3,22,29,1,81,85,yes
2,0,11,46,3,50,56,no
2,0,7,42,3,58,57,no
3,0,8,43,2,85,31,yes
1,0,4,4,1,40,29,yes
8,0,14,3,1,33,66,yes
0,0,6,38,2,0,23,no
11,0,47,58,2,89,257,yes
4,0,24,47,2,77,104,yes
4,0,22,49,2,69,88,yes
5,0,21,48,2,87,94,yes
2,0,7,5,1,53,27,no
5,0,16,6,1,38,56,no
3,0,36,12,1,63,173,yes
3,0,8,5,1,50,36,no
0,0,9,2,1,0,40,no
0,0,5,4,1,0,22,yes
0,0,4,4,1,58,20,yes
2,0,28,6,1,83,110,yes
2,0,11,3,1,0,50,yes
3,0,20,11,1,77,96,no
1,0,3,3,1,33,23,no
2,0,18,8,2,86,243,no
0,0,4,3,2,0,33,no
1,0,4,3,1,0,145,no
0,0,2,2,1,0,10,no
2,0,27,13,1,84,129,yes
0,0,5,3,1,66,66,no
0,0,5,3,1,50,64,no
2,0,4,3,2,50,15,yes
0,6,8,6,1,55,55,no
0,0,2,7,2,0,18,no
0,0,2,7,2,0,18,no
0,0,2,7,2,0,27,no
0,0,2,7,2,0,18,no
0,0,2,7,2,0,25,no
0,0,2,7,2,0,44,no
0,0,3,2,2,0,11,no
13,0,27,6,1,72,171,yes
2,0,8,4,2,75,77,no
3,0,3,1,1,0,51,no
1,0,8,5,2,50,38,no
4,8,8,8,2,85,48,no
0,0,5,2,1,0,36,no
1,0,5,3,1,33,22,no
0,0,4,3,1,0,23,no
8,0,18,16,3,75,83,yes
4,0,10,15,3,85,57,no
0,0,4,4,1,50,18,yes
8,4,61,42,1,91,244,yes
4,0,9,5,2,65,134,yes
11,0,69,48,1,95,303,yes
3,0,6,4,2,56,34,yes
10,0,11,52,2,70,258,yes
3,0,4,3,2,33,156,no
0,0,28,27,1,92,101,no
12,0,23,52,2,75,375,yes
3,0,3,45,2,0,46,yes
1,0,4,3,2,25,57,no
2,0,1,1,2,0,69,no
0,0,3,2,2,0,17,no
3,0,7,5,2,40,32,no
2,0,15,5,2,60,74,no
12,0,21,8,2,76,292,yes
6,0,32,18,3,75,182,no
0,0,29,29,1,92,101,no
0,0,29,29,1,92,105,no
1,0,12,12,1,83,45,no
0,0,3,2,1,0,21,no
0,0,2,1,1,0,20,no
5,0,16,4,1,71,148,yes
0,0,4,3,2,33,18,no
3,0,19,8,2,75,132,yes
0,0,4,2,2,0,18,no
0,0,4,4,2,0,24,no
2,0,25,19,1,88,250,no
2,0,6,2,2,50,27,no
0,0,2,1,2,0,9,no
8,0,4,2,2,0,60,yes
5,0,4,2,2,0,57,yes
0,0,4,2,2,0,33,no
0,0,3,2,2,0,11,no
0,0,3,2,2,0,11,no
0,2,3,2,2,0,13,no
2,0,7,3,2,66,83,yes
0,0,29,29,1,92,104,no
2,0,12,12,1,83,41,no
0,0,4,4,1,50,18,yes
2,0,4,4,1,50,17,no
0,0,2,2,2,0,9,yes
7,0,38,23,1,95,211,yes
0,0,2,2,1,0,8,no
1,0,1,1,1,0,5,no
1,0,87,41,1,91,322,no
0,0,83,19,1,73,379,no
0,0,56,21,2,58,326,no
0,1,26,12,1,65,103,no
0,0,18,8,1,44,71,no
0,0,13,7,1,0,66,no
7,0,28,6,1,62,292,no
3,0,7,3,1,19,37,no
1,0,6,3,1,16,64,no
1,0,7,3,1,0,35,no
11,0,167,34,1,91,1226,yes
1,0,8,5,1,30,48,no
2,0,14,8,1,31,88,no
0,0,13,6,1,38,75,no
0,0,22,13,1,78,127,no
0,0,7,5,1,19,41,no
4,0,22,2,1,0,233,no
8,0,26,9,1,0,345,yes
2,0,2,2,1,0,15,yes
1,0,2,2,2,0,29,yes
1,0,2,2,2,0,33,yes
2,0,2,2,1,0,29,yes
2,0,4,4,2,62,32,yes
0,2,11,12,2,74,50,yes
0,0,4,15,3,0,20,yes
0,0,4,15,3,0,16,yes
0,1,7,5,1,37,35,yes
0,0,10,4,1,41,59,no
2,0,17,11,1,72,85,yes
1,0,10,4,1,60,87,no
0,0,8,7,1,71,25,no
3,0,36,13,1,76,144,yes
0,0,13,2,1,0,53,no
0,0,1,1,1,0,5,no
