@relation 'phoenix data 4.2-4.3'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
2,0,5,18,1,40,25,no
53,0,13,33,2,95,403,yes
19,0,7,84,3,0,173,no
29,0,19,86,2,87,719,yes
13,0,21,88,2,0,654,yes
24,0,53,121,2,83,1576,no
9,0,1,68,2,0,42,no
6,30,5,68,1,0,24,no
2,58,4,67,1,0,17,no
1,3,1,65,2,0,7,no
1,6,1,65,2,0,6,no
1,2,1,64,1,0,6,no
26,9,9,77,2,87,72,yes
9,2,2,67,3,65,43,no
15,2,9,76,2,85,99,yes
16,2,5,70,3,0,117,yes
10,0,4,71,2,0,98,no
19,0,11,88,3,0,212,no
15,0,9,86,3,0,198,no
20,0,32,109,3,0,551,no
12,0,10,77,2,0,203,no
21,0,4,72,2,0,276,yes
9,0,9,77,2,0,150,no
6,0,3,94,2,100,25,no
20,0,5,68,1,70,126,no
4,0,2,88,0,25,17,no
9,0,6,73,2,0,83,yes
15,0,2,67,3,0,25,no
18,0,11,79,2,0,240,yes
23,0,14,81,2,88,536,yes
13,0,4,72,2,0,171,no
10,0,6,73,2,0,76,yes
15,0,32,99,2,90,368,no
16,0,11,79,2,77,513,yes
18,0,11,79,2,0,400,no
19,0,7,75,2,85,132,no
27,0,12,79,2,85,237,yes
15,0,8,76,2,0,143,no
15,0,8,75,2,0,82,yes
13,0,5,18,1,60,117,no
2,0,1,14,0,0,5,no
5,0,3,16,1,33,14,no
8,0,6,19,1,33,48,no
10,0,1,68,2,0,111,yes
18,0,3,70,2,0,197,no
15,0,6,74,2,0,102,no
6,0,7,74,2,0,135,no
11,0,4,72,2,0,103,no
14,0,7,75,2,85,112,no
17,0,15,92,3,0,435,yes
32,0,39,106,2,83,3078,yes
32,2,17,84,2,5,925,yes
28,0,3,66,1,51,89,no
12,0,2,15,0,0,18,no
18,0,2,69,2,50,52,no
0,0,1,85,3,0,5,no
21,0,21,88,2,0,330,yes
8,0,5,18,0,60,86,no
4,0,2,15,1,50,15,yes
4,0,4,17,1,0,22,yes
32,0,10,77,2,0,343,yes
26,0,4,17,0,75,96,no
46,0,20,87,2,95,703,yes
5,0,1,18,2,0,10,no
4,0,1,17,2,0,7,no
0,0,1,85,3,0,5,no
31,0,6,69,1,59,253,no
7,0,2,19,0,37,27,no
23,0,7,70,1,81,161,no
24,0,6,73,2,75,141,yes
20,0,3,70,2,66,40,no
16,0,28,95,2,87,266,yes
8,0,2,72,3,0,11,no
10,0,2,70,2,0,58,no
19,0,6,71,3,0,154,yes
6,0,11,78,2,0,236,no
9,0,13,80,2,0,94,no
17,0,3,70,2,0,46,no
8,0,2,69,2,0,45,no
8,0,1,68,2,0,52,no
10,0,13,80,2,78,116,no
18,0,9,74,3,88,201,no
23,0,9,77,2,69,209,no
13,0,13,90,3,0,234,no
8,0,12,79,2,0,216,no
11,2,2,70,2,0,71,no
16,0,6,71,3,68,119,yes
19,0,19,87,2,0,575,yes
19,0,4,81,3,0,115,no
32,0,72,140,2,93,1812,yes
36,0,16,84,2,0,885,yes
9,0,1,68,2,0,22,no
19,0,20,97,3,0,439,yes
17,0,12,79,2,75,214,yes
21,0,4,69,3,0,60,yes
11,0,3,71,2,16,100,no
10,0,1,68,2,0,52,no
9,0,13,80,2,0,146,no
9,0,4,71,2,75,51,no
8,0,7,74,2,0,65,no
16,0,4,71,2,0,86,no
14,0,31,98,2,95,348,no
20,0,41,109,2,0,1142,yes
14,0,9,77,2,0,403,no
