@relation 'Giraph data 1.0-1.1'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
5,0,5,18,0,19,29,no
5,0,1,34,2,0,8,no
6,0,4,28,1,0,19,yes
5,0,1,22,3,0,20,no
5,0,1,23,3,0,11,yes
5,0,1,22,3,0,20,no
5,0,1,23,3,0,11,yes
9,0,5,18,0,60,51,yes
16,0,8,21,0,56,97,no
39,0,3,16,0,40,135,yes
9,0,13,26,0,82,102,yes
0,0,4,24,1,50,24,yes
5,0,10,23,0,72,76,yes
6,0,11,24,0,54,55,yes
10,0,4,17,1,62,48,yes
63,0,34,47,0,89,553,yes
2,0,5,18,0,60,24,no
1,0,5,18,0,60,28,no
6,2,13,26,0,53,68,yes
33,0,13,26,0,73,367,yes
2,1,7,20,0,28,34,no
11,0,15,28,0,62,117,yes
1,5,2,17,1,0,13,yes
5,0,1,14,0,100,13,yes
32,0,34,47,0,85,391,yes
3,1,2,19,2,0,14,yes
10,0,3,20,2,0,28,yes
11,0,9,26,2,44,50,yes
3,0,6,25,3,58,25,yes
4,0,2,15,1,0,21,yes
3,1,2,19,2,0,13,yes
9,0,3,20,2,0,28,yes
10,0,8,25,2,43,45,yes
5,1,7,26,3,64,38,yes
2,0,1,27,4,0,7,no
0,1,0,17,2,0,4,yes
6,0,4,22,2,0,29,yes
8,0,9,26,2,77,55,yes
5,0,2,19,3,0,14,yes
3,0,1,18,1,0,56,yes
10,0,2,21,1,50,47,yes
6,1,1,18,2,0,62,no
3,1,7,27,2,57,37,yes
5,1,2,20,2,50,51,no
2,1,5,22,2,50,24,no
3,0,1,19,3,100,39,yes
9,1,3,30,3,100,23,yes
5,0,1,21,3,0,33,no
4,0,2,24,3,33,18,yes
14,0,2,33,1,50,88,yes
3,0,1,52,2,0,12,yes
2,1,2,22,2,0,8,no
5,4,2,17,1,0,13,yes
3,5,6,21,1,0,14,yes
3,2,1,20,3,100,67,no
10,2,10,42,4,80,54,no
4,1,1,22,3,100,35,no
8,1,2,26,4,0,22,yes
6,2,1,18,2,0,13,yes
8,1,13,26,1,85,167,no
1,0,2,15,0,0,13,yes
1,0,2,28,2,0,14,no
4,1,1,22,3,100,40,no
6,1,2,26,4,0,27,yes
5,0,1,20,3,100,39,yes
9,0,4,36,4,25,28,no
5,0,1,22,4,100,27,yes
4,0,1,20,3,0,30,no
5,0,4,36,4,50,21,no
4,0,1,20,4,0,11,no
5,1,1,19,3,100,32,no
7,0,4,39,4,0,22,no
1,0,1,14,0,100,6,no
3,0,1,20,3,0,87,no
13,0,5,37,4,0,77,no
3,0,1,22,3,0,53,no
9,0,1,25,4,0,44,yes
3,0,1,20,3,0,46,no
7,0,5,38,4,0,37,yes
3,0,1,22,3,0,35,no
5,0,1,25,4,0,25,yes
3,1,1,21,4,0,29,no
7,1,4,46,5,0,19,no
7,0,2,19,2,0,115,yes
13,0,6,27,2,62,100,yes
1,0,1,14,0,100,10,no
8,0,2,15,0,0,27,no
7,0,2,19,2,0,86,yes
14,0,6,26,2,64,71,yes
10,0,2,15,0,0,41,no
5,0,2,15,0,0,11,no
7,0,2,19,2,0,108,yes
15,0,6,26,2,68,93,yes
6,0,2,19,2,0,44,yes
5,0,5,23,2,60,47,no
5,0,3,20,2,0,19,yes
6,1,4,46,5,0,19,no
6,1,1,18,2,0,96,yes
5,2,6,27,2,50,29,no
6,0,6,33,3,0,22,no
