@relation 'subsonic 5.1-5.2'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
0,0,5,2,1,0,24,no
8,0,28,10,1,80,108,no
0,0,3,2,1,37,33,yes
7,0,32,11,1,87,196,yes
5,0,17,8,1,60,118,no
2,0,6,5,1,80,56,no
19,0,30,16,1,83,130,no
15,0,103,43,1,85,379,yes
15,0,61,20,1,83,277,yes
2,0,4,14,2,0,18,no
8,0,15,15,2,60,78,no
3,0,43,23,2,0,196,no
1,0,2,2,2,0,29,no
0,0,26,26,1,92,93,no
5,4,18,10,1,0,67,no
1,0,4,2,1,0,14,no
1,0,1,1,2,0,53,no
10,0,26,11,1,72,130,yes
2,0,2,2,2,0,36,no
6,0,11,8,1,83,216,no
9,0,45,18,1,79,173,yes
15,0,54,30,1,84,364,yes
14,0,97,32,1,88,459,no
5,0,9,7,1,57,34,yes
16,0,52,21,1,86,397,yes
0,0,0,0,1,0,4,no
6,0,32,22,1,74,118,no
1,0,1,1,2,0,26,no
1,0,3,3,1,33,11,no
19,0,208,156,1,96,868,yes
1,0,5,5,2,19,104,no
8,0,19,13,1,75,73,no
2,0,19,11,1,68,71,yes
3,0,3,3,2,0,40,no
15,0,67,23,1,79,281,no
0,0,2,2,2,0,10,no
2,0,12,8,1,62,82,no
0,0,2,2,2,0,9,no
10,0,43,27,3,68,195,no
0,0,0,0,2,0,2,no
0,0,6,4,1,25,26,no
6,1,15,8,2,75,72,no
7,0,16,9,1,75,102,no
2,0,25,10,1,86,129,no
0,0,6,5,2,19,23,no
1,0,6,5,2,19,26,no
1,0,7,6,2,33,29,no
4,0,28,14,2,72,122,no
0,0,6,5,2,19,30,no
4,0,13,6,1,66,48,no
2,0,5,3,2,33,24,no
2,0,4,2,2,25,18,no
2,0,3,3,2,0,14,no
1,0,6,6,2,16,26,no
2,0,18,11,1,0,107,no
0,0,15,8,1,25,53,no
1,0,4,4,2,0,48,no
1,0,61,22,1,0,270,no
1,0,20,19,2,0,174,no
0,0,13,12,1,77,51,no
1,0,25,12,1,0,94,no
1,0,4,2,1,0,13,no
3,0,4,3,1,33,16,no
3,0,14,4,1,50,42,no
4,0,40,10,1,0,146,no
3,0,17,4,1,0,85,no
4,0,6,2,1,0,32,no
4,0,8,2,1,0,62,no
1,0,9,20,2,0,33,no
3,0,102,49,1,77,365,no
0,0,3,3,2,33,14,no
6,0,68,7,1,0,295,no
5,0,219,63,1,80,809,no
0,0,3,16,2,0,8,no
3,2,67,18,1,78,250,no
2,1,37,14,1,62,134,no
5,0,86,7,1,0,320,no
2,0,80,25,2,0,239,no
